X,Y,Z
478372.3994,3468109.43,41.7887
478378.1591,3468106.381,41.9096
478384.5627,3468102.991,41.7887
478387.842,3468101.256,41.7218
478390.2372,3468099.988,40.5966
478391.6542,3468099.238,40.2931
478392.8725,3468098.593,40.7543
478393.9609,3468098.017,40.3148
478395.2774,3468097.32,39.4567
478397.6185,3468096.081,38.6151
478398.9404,3468095.381,38.2461
478400.8235,3468094.384,38.2788
478402.6102,3468093.439,38.2305
478405.7979,3468091.751,38.2501
478408.3353,3468090.408,38.134
478410.536,3468089.244,38.1097
478412.115,3468088.408,37.9527
478413.7277,3468087.554,37.9527
478415.2357,3468086.756,37.9527
478416.9255,3468085.862,38.3615
478418.4556,3468085.052,37.9871
478419.4043,3468084.549,37.1575
478420.7304,3468083.848,36.343
478422.5172,3468082.902,35.6766
478423.6961,3468082.278,34.7483
478425.1704,3468081.497,33.8181
478429.1186,3468079.408,32.8989
478430.9357,3468078.446,33.003
478432.7035,3468077.51,33.2568
478435.5726,3468075.991,33.4444
478439.2698,3468074.035,33.583
478442.4231,3468072.365,33.679
478445.3494,3468070.817,33.7271
478448.3324,3468069.238,33.679
478451.5353,3468067.542,33.679
478454.7416,3468065.845,33.7838
478458.3788,3468063.92,33.7439
478463.0269,3468061.46,33.6401
478464.7939,3468060.524,32.9746
478468.0593,3468058.796,32.8142
478470.8891,3468057.298,32.8498
478473.9234,3468055.692,32.9746
478478.6856,3468053.171,33.2073
478483.557,3468050.593,33.3722
478489.1192,3468047.649,33.4661
478493.4833,3468045.339,33.5129
478497.5421,3468043.19,33.4895
478502.3824,3468040.628,33.4313
478510.3351,3468036.419,33.4313
478517.0345,3468032.873,33.3887
478522.3457,3468030.062,33.3321
478524.5779,3468028.88,32.7789
478528.5824,3468026.761,32.7055
478531.7962,3468025.059,32.7055
478537.735,3468021.916,32.5675
478545.2649,3468017.93,32.5675
478551.2394,3468014.768,32.6413
478557.1541,3468011.637,32.6966
478558.8981,3468010.714,32.5498
478561.2076,3468009.492,32.6232
478564.546,3468007.725,32.9618
478569.2613,3468005.229,33.0708
478573.8839,3468002.782,32.9083
478578.593,3468000.29,32.5203
478581.8775,3467998.551,32.5203
478586.0082,3467996.365,32.7222
478589.8234,3467994.345,32.7497
478593.3563,3467992.475,32.6224
478595.1133,3467991.545,32.7502
478596.9582,3467990.569,32.5037
478601.5928,3467988.116,32.4593
478604.5145,3467986.569,32.4593
478609.0885,3467984.148,32.5815
478611.9753,3467982.62,32.9346
478615.977,3467980.502,32.9949
478621.6158,3467977.517,34.7342
478627.334,3467974.491,34.9004
478629.5587,3467973.313,35.1807
478634.5882,3467970.651,35.3441
478640.2447,3467967.657,35.3685
478646.6003,3467964.293,35.125
478651.5447,3467961.676,34.9546
478656.3013,3467959.158,34.9793
478661.5865,3467956.36,34.1575
478669.948,3467951.935,33.4512
